reward_today,future_reward,delay,key_resp.keys,k,
11,30,7,l,0.246753247,
11,30,7,l,0.246753247,
11,30,7,l,0.246753247,
11,30,7,l,0.246753247,
11,30,7,l,0.246753247,
11,30,7,l,0.246753247,
11,30,7,l,0.246753247,
11,30,7,l,0.246753247,
11,30,7,l,0.246753247,
11,30,7,l,0.246753247,
11,30,7,l,0.246753247,
11,30,7,l,0.246753247,
11,30,7,l,0.246753247,
11,30,7,l,0.246753247,
15,35,13,l,0.102564103,
15,35,13,l,0.102564103,
15,35,13,l,0.102564103,
15,35,13,l,0.102564103,
15,35,13,l,0.102564103,
15,35,13,l,0.102564103,
15,35,13,l,0.102564103,
15,35,13,l,0.102564103,
15,35,13,l,0.102564103,
15,35,13,l,0.102564103,
15,35,13,l,0.102564103,
15,35,13,l,0.102564103,
15,35,13,l,0.102564103,
15,35,13,l,0.102564103,
27,50,21,l,0.040564374,
27,50,21,l,0.040564374,
27,50,21,l,0.040564374,
27,50,21,l,0.040564374,
27,50,21,l,0.040564374,
27,50,21,l,0.040564374,
27,50,21,l,0.040564374,
27,50,21,l,0.040564374,
27,50,21,l,0.040564374,
27,50,21,l,0.040564374,
27,50,21,l,0.040564374,
27,50,21,l,0.040564374,
27,50,21,l,0.040564374,
27,50,21,l,0.040564374,
40,55,62,l,0.006048387,
40,55,62,l,0.006048387,
40,55,62,l,0.006048387,
40,55,62,l,0.006048387,
40,55,62,l,0.006048387,0.006048387
40,55,62,t,0.006048387,
40,55,62,t,0.006048387,
40,55,62,t,0.006048387,
40,55,62,t,0.006048387,
40,55,62,t,0.006048387,
40,55,62,t,0.006048387,
40,55,62,t,0.006048387,
40,55,62,t,0.006048387,
40,55,62,t,0.006048387,
40,55,62,t,0.006048387,
49,60,89,t,0.002522357,
49,60,89,t,0.002522357,
49,60,89,t,0.002522357,
49,60,89,t,0.002522357,
49,60,89,t,0.002522357,
49,60,89,t,0.002522357,
49,60,89,t,0.002522357,
49,60,89,t,0.002522357,
49,60,89,t,0.002522357,
49,60,89,t,0.002522357,
49,60,89,t,0.002522357,
49,60,89,t,0.002522357,
49,60,89,t,0.002522357,
67,75,119,t,0.001003386,
67,75,119,t,0.001003386,
67,75,119,t,0.001003386,
67,75,119,t,0.001003386,
67,75,119,t,0.001003386,
67,75,119,t,0.001003386,
67,75,119,t,0.001003386,
67,75,119,t,0.001003386,
67,75,119,t,0.001003386,
67,75,119,t,0.001003386,
67,75,119,t,0.001003386,
67,75,119,t,0.001003386,
67,75,119,t,0.001003386,
67,75,119,t,0.001003386,
67,75,119,t,0.001003386,
78,80,162,t,0.000158278,
78,80,162,t,0.000158278,
78,80,162,t,0.000158278,
78,80,162,t,0.000158278,
78,80,162,t,0.000158278,
78,80,162,t,0.000158278,
78,80,162,t,0.000158278,
78,80,162,t,0.000158278,
78,80,162,t,0.000158278,
78,80,162,t,0.000158278,
78,80,162,t,0.000158278,
78,80,162,t,0.000158278,
78,80,162,t,0.000158278,
78,80,162,t,0.000158278,
78,80,162,t,0.000158278,
